date;JBSS3;BBAS3;PRIO3;TAEE11;SMTO3;TOTS3;GGBR3;USIM3;EGIE3;MRFG3;HYPE3;AZZA3;ITUB3;BEEF3;PFRM3;IBOVESPA;SELIC;;;;;;;;;;;;;;
2016-03-31;-0,045;0,475;0,951;0,065;0,007;-0,135;0,750;0,182;0,039;0,053;0,120;0,311;0,177;-0,052;0,130;0,170;1,16%;;;;;;;;;;;;;;
2016-04-29;-0,170;0,118;0,053;0,020;-0,089;0,050;0,172;0,100;0,040;-0,014;0,076;0,039;0,070;-0,056;0,097;0,077;1,06%;;;;;;;;;;;;;;
2016-05-31;0,158;-0,249;-0,155;-0,003;0,203;0,050;-0,306;0,089;-0,062;-0,031;-0,054;0,026;-0,108;-0,104;0,221;-0,101;1,11%;;;;;;;;;;;;;;
2016-06-30;0,000;0,052;-0,146;0,019;-0,008;0,031;0,092;0,037;0,080;-0,107;-0,181;0,096;0,022;-0,033;0,107;0,063;1,16%;;;;;;;;;;;;;;
2016-07-29;0,090;0,225;0,089;0,349;-0,005;0,077;0,289;0,654;0,102;0,011;0,187;0,046;0,128;0,048;0,130;0,112;1,11%;;;;;;;;;;;;;;
2016-08-31;0,147;0,110;-0,028;-0,082;-0,045;-0,080;0,171;-0,137;-0,054;-0,100;-0,049;-0,071;0,061;-0,017;-0,033;0,010;1,22%;;;;;;;;;;;;;;
2016-09-30;-0,054;-0,012;-0,070;-0,096;0,167;0,013;0,016;0,303;-0,013;0,022;0,068;0,012;0,016;0,017;-0,028;0,008;1,11%;;;;;;;;;;;;;;
2016-10-31;-0,179;0,285;0,186;-0,011;0,084;-0,047;0,237;-0,067;0,053;0,090;-0,040;0,129;0,176;0,053;0,063;0,112;1,05%;;;;;;;;;;;;;;
2016-11-30;0,005;-0,023;0,038;-0,079;-0,153;-0,257;0,172;0,001;-0,100;0,144;-0,030;-0,070;-0,082;0,212;-0,110;-0,046;1,04%;;;;;;;;;;;;;;
2016-12-29;0,168;-0,011;0,311;0,118;0,086;0,130;-0,166;-0,065;-0,024;0,015;0,006;-0,079;-0,003;-0,008;-0,115;-0,027;1,12%;;;;;;;;;;;;;;
2017-01-31;0,044;0,108;0,203;0,035;0,049;0,085;0,092;0,001;0,023;-0,023;0,070;0,161;0,072;-0,012;0,050;0,074;1,09%;;;;;;;;;;;;;;
2017-02-24;-0,017;0,064;0,446;0,026;-0,071;-0,029;0,057;0,088;0,033;-0,033;-0,010;0,082;0,114;-0,101;0,028;0,031;0,87%;;;;;;;;;;;;;;
2017-03-31;-0,127;0,023;0,240;0,043;-0,091;0,095;0,157;-0,069;-0,044;-0,086;0,071;-0,003;-0,035;-0,096;0,167;-0,025;1,05%;;;;;;;;;;;;;;
2017-04-28;0,006;-0,027;-0,075;0,003;0,030;0,003;-0,083;0,048;-0,039;0,264;0,038;0,074;0,009;0,064;0,071;0,006;0,79%;;;;;;;;;;;;;;
2017-05-31;-0,212;-0,131;-0,154;0,032;0,011;0,086;-0,022;-0,027;-0,006;-0,127;-0,019;-0,031;-0,052;0,081;-0,159;-0,041;0,93%;;;;;;;;;;;;;;
2017-06-30;-0,191;-0,052;0,000;-0,029;-0,044;-0,001;0,074;0,034;0,023;0,073;-0,058;0,019;0,009;0,127;-0,160;0,003;0,81%;;;;;;;;;;;;;;
2017-07-31;0,179;0,071;0,017;0,054;0,037;-0,005;0,046;0,177;0,032;-0,050;0,007;0,140;0,017;0,007;0,001;0,048;0,80%;;;;;;;;;;;;;;
2017-08-31;0,126;0,077;0,173;-0,022;-0,006;0,042;0,109;-0,013;0,075;0,111;0,054;0,237;0,091;-0,066;0,029;0,075;0,80%;;;;;;;;;;;;;;
2017-09-29;-0,020;0,139;0,057;-0,011;0,019;0,008;-0,063;-0,020;0,004;-0,093;0,091;0,106;0,077;-0,033;0,083;0,049;0,64%;;;;;;;;;;;;;;
